Item ID,Item Name,Category,Price (INR),Type,Spice Level,No. of Users Ordered,No. of Times Ordered,Most Co-Ordered With
869,Happy Weizen (1000Ml),Craft Beer,699,-,-,83,84,Periperi French Fries
97,Cheddar & Corn Burger,Salads & Burger,359,Veg,-,80,83,Periperi French Fries
301,Smirnoff (30Ml),Vodka,299,-,-,82,83,Peanut Masala
897,Hot Toddy,Classic Cocktail,489,-,-,82,83,Cheese Poppers
984,Jerk Chicken Pizza,Pizza,599,Non-Veg,-,82,82,Loaded Nachos
306,Old Monk (30Ml),Rum,229,-,-,78,82,Can Coke
533,Hazelnut Shake,,0,-,-,82,82,Aamrit
1136,Namma Bengaluru Fizz,Ipl Cocktails,499,-,-,82,82,Spicy Chicken Skewer
38,Crab Omlette,Small Plates,999,Non-Veg,-,78,81,Shrimp Popcorn
1057,Dragon Roll,Sushi,0,Non-Veg,-,78,79,Loaded Nachos
875,Liit Pitcher,Classic Cocktail,1999,-,-,73,78,Crispy Chilli Corn
77,Chili Pork Bao,"Momos, Dimsum & Bao",439,Non-Veg,-,75,75,Aamrit
521,Kamikaze,Shooter,399,-,-,74,75,Periperi French Fries
83,Pork Gyoza,"Momos, Dimsum & Bao",369,Non-Veg,-,71,73,Chilli Pork
1067,Steamed Edamame,Sushi,499,Veg,-,70,72,Aamrit
1137,Kings Signature,Ipl Cocktails,499,-,-,71,71,Spicy Chicken Skewer
874,Wit Maga (1000Ml),Craft Beer,699,-,-,70,70,Loaded Nachos
1066,Shiitake Yakitori,Sushi,749,Veg,-,68,69,Aamrit
497,Moksha,Signature Cocktails,499,-,-,68,68,Peanut Masala
58,Tandoori Subz,From The Clay Oven,299,Veg,-,68,68,Loaded Nachos
1055,Takuan Roll,Sushi,0,Veg,-,67,67,Aamrit
141,Malabar Paratha,"Lentils, Staples & Breads",99,Veg,-,65,66,Chilli Egg
515,Blue Frog ( High Abv),(High Abv) Contains 100 Ml Alcohol,729,-,-,62,66,Liit
537,Berry Shake,,0,-,-,65,66,Aamrit
542,Dal Makhani Served With Butter Naan,"Lentils, Staples & Breads",359,Veg,-,64,65,Cheese Poppers
985,Pork Pepperoni Pizza,Pizza,629,Non-Veg,-,63,64,Chicken Popcorn
423,Can Soda,Soft Beverages,129,-,-,60,64,Crispy Chilli Corn
972,Nati Style Lamb Chops,Small Plates,599,Non-Veg,-,63,64,Aamrit
505,Clover's Club,Classic Cocktail,529,-,-,62,63,Kanak
143,Kal Dosa,"Lentils, Staples & Breads",79,Veg,-,60,62,Aamrit
929,Sicilian Cannoli,Dessert,479,Egg,-,62,62,Golden Kick
1011,South Indian Coffee Brulee,Dessert,349,Egg,-,61,62,Tres Leches
451,Dal Tadka Served With Butter Roti,"Lentils, Staples & Breads",299,Veg,-,61,61,Fresh Lime Soda
545,Roti Butter,"Lentils, Staples & Breads",99,Veg,-,60,61,Aamrit
106,Paprika Crusted Pan Seared Fish,Pasta & Grills,499,Non-Veg,-,58,61,Aamrit
434,Kosha Mangsho Served With Steam Gobindho Bhog Rice,Large Plates - North Indian,599,Non-Veg,-,59,61,Aamrit
980,Prawn Hargaon Dumpling,"Momos, Dimsum & Bao",449,Non-Veg,-,60,60,Loaded Nachos
347,Black Dog Black  (30Ml),Whisky,299,-,-,57,57,Crispy Chilli Corn
361,Jameson (30Ml),International Whiskey,399,-,-,56,57,Peanut Masala
992,Punjabi Dum Aloo,Large Plates - North Indian,319,Veg,-,56,56,Aamrit
566,Classic Ice Burst (20 Pcs),Smokes,650,-,-,54,55,Periperi French Fries
706,Classic Connect 20,Smokes,560,-,-,52,52,Peanut Masala
299,Absolut (30Ml),Vodka,429,-,-,47,50,Periperi French Fries
519,Lemon & Salt,Shooter,349,-,-,47,50,Crispy Chilli Corn
330,Johnnie Walker Red Label (30Ml),Whisky,369,-,-,47,50,Peanut Masala
1141,Victory Vibe 25,Ipl Cocktails,499,-,-,49,49,Kookaburra
82,Prawn Pheonix Eye Dumpling,"Momos, Dimsum & Bao",459,Non-Veg,-,48,49,Shrimp Popcorn
315,Jaisalmer (30Ml),,0,-,-,48,48,Tonic Water
383,Mansion House (30Ml),Cognac/Brandy,229,-,-,47,48,Peanut Masala
503,Caravan,Signature Cocktails,699,-,-,48,48,Periperi French Fries
151,Missi Roti,"Lentils, Staples & Breads",69,Veg,-,45,47,Tadka Palak Served With Missi Roti
973,Mutton Kari Dosa,Small Plates,399,Non-Veg,-,47,47,Peanut Masala
868,El Chamraj (1000Ml),Craft Beer,699,-,-,44,47,Peanut Masala
261,Sdu Cabernet Sauvignon (Glass),Red Wine,529,-,-,47,47,Peanut Masala
993,Sambar Rice - Veg,Large Plates - South Indian,319,Veg,-,46,47,Curd Rice
971,Kongu Nadu Chicken Fry,Small Plates,369,Non-Veg,-,46,46,Crispy Chilli Corn
1059,Spicy Tuna Roll,Sushi,0,Non-Veg,-,46,46,Shrimp Popcorn
960,Sour Cherry Burrata,Salads & Burger,599,Veg,-,45,45,Avocado Roll
1002,Chinese Chilly Paneer,Pan Asian,329,Veg,-,44,44,Burn Garlic Fried Rice -Veg
523,Jager Energy,,0,-,-,44,44,Periperi French Fries
717,Red Velvet Cake 500Gm,Dessert,550,Veg,-,43,43,Golden Kick
715,Chocolate Cake 500 Gm,Dessert,700,Veg,-,41,42,Periperi French Fries
509,Daiquiri,Classic Cocktail,529,-,-,40,40,Loaded Nachos
999,Malabar Prawn Curry With Rice,Large Plates - South Indian,629,Non-Veg,-,39,39,Fresh Lime Soda
404,Fratelli Cabernet Franc Shiraz  (Glass),Red Wine,529,-,-,39,39,Golden Kick
872,Rassela Cider  (1000Ml),Craft Beer,699,-,-,37,38,Periperi French Fries
871,Nandi Nectar (1000Ml),Craft Beer,699,-,-,37,38,Chicken Popcorn
303,Bacardi Carta Blanca (30Ml),Rum,249,-,-,34,37,Periperi French Fries
485,Red Raja (Pitcher),Craft Beer,999,-,-,36,37,Chicken Popcorn
998,Bun Mutton,Large Plates - South Indian,489,Non-Veg,-,36,36,Chicken Popcorn
987,Smashed Jackfruit Burger,Salads & Burger,359,Veg,-,36,36,Aamrit
444,"Prawns Thai Yellow Curry, Jasmine Rice",Pan Asian,699,Non-Veg,-,35,35,Aamrit
146,Plain Naan,"Lentils, Staples & Breads",99,Veg,-,35,35,Aamrit
405,Fratelli Merlot  (Glass),Red Wine,529,-,-,35,35,Periperi French Fries
964,Quinoa Salad,Salads & Burger,329,Veg,-,35,35,Peanut Masala
342,Ballantines Finest (30Ml),Whisky,399,-,-,31,33,Peanut Masala
489,Rowdy Stout (Pitcher),Craft Beer,959,-,-,32,33,Loaded Nachos
996,Rass Omelette Chicken,Large Plates - South Indian,349,Non-Veg,-,30,31,Shrimp Popcorn
616,Malt Ice Cream,Dessert,169,-,-,30,31,Chicken Popcorn
540,Mimosa,Wine C Ocktails,529,-,-,31,31,Aamrit
1004,Kung Pao Chicken Curry,Pan Asian,399,Non-Veg,-,31,31,Burn Garlic Fried Rice -Veg
340,Teacher's Highland Cream (30Ml),Whisky,349,-,-,29,30,Periperi French Fries
495,Rasa,Signature Cocktails,499,-,-,30,30,French Fries Salted
320,Nilgiri (30Ml),,0,-,-,29,29,Tonic Water
311,Tanqueray (30Ml),,0,-,-,28,29,Tonic Water
308,Roku Gin (30Ml),Gin,649,-,-,28,28,Tonic Water
69,Tandoori Pomfret,,0,-,-,28,28,Chicken Popcorn
348,100 Piper Deluxe (30Ml),Whisky,369,-,-,27,28,Periperi French Fries
790,1800 Mango Picante,Signature Cocktails,999,-,-,27,28,Indo-Chinese Bhel
1033,Beefeater Gin (30Ml),,0,-,-,26,27,Tonic Water
